ativo;sl;tp
BBAS3;0,14;0,52
BBDC4;0,21;0,53
BOVA11;0,69;1,31
BVMF3;0,11;0,42
CSNA3;0,19;0,49
CYRE3;0,19;0,58
GGBR4;0,21;0,51
ITSA4;0,07;0,15
PETR4;0,22;0,52
USIM5;0,17;0,69
VALE5;0,41;0,92
