ativo;sl;tp
BBAS3;0.16;0.5
BBDC4;0.21;0.53
BOVA11;0.69;1.22
BVMF3;0.07;0.28
CSNA3;0.19;0.45
CYRE3;0.18;0.57
GGBR4;0.18;0.54
ITSA4;0.07;0.15
PETR4;0.27;0.54
USIM5;0.15;0.64
VALE5;0.41;0.88
